name,avg_total_playtime
Rencounter,175000.0
Hustle Cat,175000.0
TumbleSeed,175000.0
Waddle Home,175000.0
Time Leap Paradise SUPER LIVE!,175000.0
"Slice, Dice & Rice",175000.0
Racket: Nx,170000.0
Grave Danger: Ultimate Edition,170000.0
The Endless Journey,170000.0
illie,170000.0
Platform Golf,170000.0
Real Drift,170000.0
Audica,170000.0
Pixel Z - Gun Day,160000.0
VR Regatta - The Sailing Game,160000.0
Disney's The Jungle Book,160000.0
Arcfall,160000.0
(Zengeon),160000.0
Full Spectrum Warrior: Ten Hammers,150000.0
Cossacks: European Wars,150000.0
The Next BIG Thing,150000.0
The 11th Hour,150000.0
Kraven Manor,150000.0
International Snooker,150000.0
Axis Football 2015,150000.0
Radiator 2: Anniversary Edition,150000.0
ARCADE GAME SERIES: DIG DUG,150000.0
Dangerous Golf,150000.0
Syndrome,150000.0
Gods and Idols,150000.0
Clash of the Monsters,150000.0
Lucid9: Inciting Incident,150000.0
Tap Tap Legions - Epic battles within 5 seconds!,150000.0
The Average Everyday Adventures of Samantha Browne,150000.0
Varenje,150000.0
Elven Assassin,150000.0
Epic Battle Fantasy 3,150000.0
Disturbed,150000.0
Gunmetal Arcadia Zero,150000.0
Tale of Fallen Dragons,150000.0
The Archotek Project,150000.0
Star Story: The Horizon Escape,150000.0
Boss Defiance,150000.0
Ball 2D: Soccer Online,150000.0
Clicker bAdventure,150000.0
Countryballs: Over The World,150000.0
Memento Mori,140000.0
iRacing,140000.0
ALLTYNEX Second,140000.0
FIST OF AWESOME,140000.0
Space Beast Terror Fright,140000.0
Disney's The Lion King,140000.0
Mini Battlegrounds,140000.0
Immortal Heroes,140000.0
Home Sheep Home 2,130000.0
CHAOS - In the Darkness,130000.0
Stargunner,130000.0
Fenrisulfr Puzzle,130000.0
Vision of Aurora Borealis,130000.0
Counter Fight: Samurai Edition,130000.0
Cyber Complex,130000.0
Snakeez,130000.0
Starscape,120000.0
Diner Mania,120000.0
Square Brawl,120000.0
Mu Complex,110000.0
Galactic Missile Defense,110000.0
Bicyclism EP,110000.0
PAWARUMI,110000.0
Dragon Sinker,110000.0
Loader,110000.0
Qora,105000.0
Quantum Rush Champions,105000.0
Chime Sharp,105000.0
Rise of the Triad: Dark War,105000.0
Timespinner,105000.0
HoCWar,105000.0
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,105000.0
Mouse Playhouse,105000.0
Make It Rain: Love of Money,105000.0
Knights Hunt,105000.0
Rapid Tap,105000.0
The Mammoth: A Cave Painting,105000.0
Safety First!,100000.0
Zombie Apocalypse,100000.0
King and Assassins,100000.0
Hardy Only One,100000.0
Eternity's Child,90000.0
Hexodius,90000.0
Challenge of the Five Realms: Spellbound in the World of Nhagardia,90000.0
Resilience Wave Survival,90000.0
Jump Stars,90000.0
Dark Train,90000.0
B. Braun Future Operating Room,90000.0
Crazy Catman,90000.0
Abstract Arena,90000.0
Battlegun,90000.0
Task is to Survive,90000.0
/ Sakura no Mori  Dreamers,90000.0
Island Time VR,90000.0
CRASHBOT,90000.0
blue.,90000.0
Impulsion,90000.0
Sloppy Goat,90000.0
Square Head Zombies 2 - FPS Game,90000.0
i Brave New World i,90000.0
JOLT: Super Robot Racer,80000.0
Trickster VR: Co-op Dungeon Crawler,80000.0
Tiles,80000.0
PATHOS,80000.0
Treadnauts,80000.0
Goro,80000.0
Marble It Up!,80000.0
Safecracker: The Ultimate Puzzle Adventure,75000.0
Nimbus,75000.0
Realms of Arkania: Blade of Destiny,75000.0
Praetorians,75000.0
Faery - Legends of Avalon,75000.0
Rooms: The Main Building,75000.0
Zoo Park,75000.0
AppGameKit: Easy Game Development,75000.0
Raptor: Call of the Shadows (1994 Classic Edition),75000.0
Remnants Of Isolation,75000.0
Super 3-D Noah's Ark,75000.0
Bitweb,75000.0
Bloo Kid 2,75000.0
9Dragons,75000.0
Water Bears VR,75000.0
Anarchy Online,75000.0
Romance of the Three Kingdoms Maker /,75000.0
The Uncertain: Last Quiet Day,75000.0
SOLRAVEN,75000.0
Steno Arcade,75000.0
Spellstone,75000.0
Eclipse --- Defending the motherland,75000.0
Heroes of Dire,75000.0
Therian Saga,75000.0
VRCapture,75000.0
Life Forge - Reborn ORPG,75000.0
Multiplayer FPS Demo,75000.0
Aces High III,75000.0
welcome to heaven,75000.0
The Awakening,75000.0
War Planet Online: Global Conquest,75000.0
The Curse of Monkey Island,75000.0
Harvest Seasons,75000.0
JAILBREAK,75000.0
Cryptocurrency Clicker,75000.0
Bad Mojo Redux,70000.0
Death Goat,70000.0
BANZAI PECAN: The Last Hope For the Young Century,70000.0
Good Robot,70000.0
Canabalt,70000.0
Pang Adventures,70000.0
10 Second Ninja X,70000.0
Heroes of Shadow Guard,70000.0
Phantaruk,70000.0
The Secret Monster Society,70000.0
River City Melee : Battle Royal Special,70000.0
Mini Ghost,70000.0
Trials of The Illuminati: Animated Christmas Time Jigsaws,70000.0
Drake of the 99 Dragons,70000.0
Apocalypse zombie Race,70000.0
SCP -The will of a single Tale-DEMOver.,70000.0
Hills Of Glory 3D,60000.0
Pixel Galaxy,60000.0
Hoops VR,60000.0
The Superfluous,60000.0
Children of Orc,60000.0
Adventuring Gentleman,60000.0
Cally's Caves 4,60000.0
Equalizer,60000.0
Draw Your Game,60000.0
Crazy Scientist,60000.0
Ablepsia,60000.0
Soldier of Failure,60000.0
You Will Never Get This Achievement,60000.0
Hide The Body,60000.0
Drizzlepath: Deja Vu,60000.0
Mola mola: Vivienne,60000.0
Marvin's Mittens,50000.0
Cat Meat,50000.0
4Team,50000.0
Choppa,50000.0
Interkosmos,50000.0
Goblin Harvest - The Mighty Quest,50000.0
Dinosaur Hunt First Blood,50000.0
:,50000.0
Gloom: Digital Edition,50000.0
Crimson Defense,50000.0
WIN THE GAME!,50000.0
TapSonic World Champion VR,50000.0
NALOGI 2,50000.0
Overdungeon,50000.0
Splendor,40000.0
C.R.E.E.P.S,40000.0
Pay2Win: The Tricks Exposed,40000.0
Soup: the Game,40000.0
Domino Sky,40000.0
Bacon Tales - Between Pigs and Wolves,40000.0
Death Dojo,40000.0
DragoDino,40000.0
Deadly Hunter VR,40000.0
A Day For A Kitten,40000.0
Mount Hill,40000.0
Paradox Wrench,40000.0
Night Fly,40000.0
Knife Hit Dash,40000.0
Grandpa,40000.0
Kama Bullet Heritage 2,40000.0
Tap Cats: Battle Arena,40000.0
Mata Hari,35000.0
The Last Express Gold Edition,35000.0
J.U.L.I.A.: Among the Stars,35000.0
Shadow Blade: Reload,35000.0
The Great Jitters: Pudding Panic,35000.0
Close Combat - Gateway to Caen,35000.0
Small Town Terrors Pilgrim's Hook Collector's Edition,35000.0
BoxesWithGuns,35000.0
The Corporate Machine,35000.0
Visibility,35000.0
ACE Academy,35000.0
Trillion: God of Destruction,35000.0
Hide & Spook: The Haunted Alchemist,35000.0
After Dreams,35000.0
Clockwork,35000.0
Pixel Gladiator,35000.0
Once on a windswept night,35000.0
Insanity VR: Last Score,35000.0
League of Pirates,35000.0
The Raven Remastered,35000.0
Zombie Pop,35000.0
Kokoda VR,35000.0
NEKO-NIN exHeart +PLUS Nachi,35000.0
akda,35000.0
Clawface,35000.0
Alien Crusader,35000.0
Impossible Runner,35000.0
CrocoMars,35000.0
Debtor,35000.0
NALOGI,35000.0
Forest Harvester Simulator,35000.0
Killer Backflip 5,35000.0
-Pure Station- / Maitetsu:Pure Station,35000.0
Inherit the Earth: Quest for the Orb,30000.0
Bunny Bash,30000.0
Typefighters (Steam Edition),30000.0
Starship Titanic,30000.0
Moribund,30000.0
Super Destronaut,30000.0
Driftwatch VR,30000.0
Wild Guns Reloaded,30000.0
Chasing Styx,30000.0
Light in the dark,30000.0
Lost with Dinosaurs,30000.0
Rebons,30000.0
Iron Knight,30000.0
Achievement Clicker,30000.0
Rig or Skill: PC Brawl,30000.0
Gauntlet of IRE,30000.0
Dungeon Gambit Boy,30000.0
ZombieHunt,30000.0
BeeFender,30000.0
Primitive Race,30000.0
Isle of Skye,30000.0
The Experiment: Escape Room,30000.0
SlamIt Pinball Big Score,20000.0
Abalone,20000.0
Towers of Altrac - Epic Defense Battles,20000.0
The Indie Mixtape,20000.0
Dark Years,20000.0
Mainlining,20000.0
The Leisure of Grisaia,20000.0
A Long Way Home,20000.0
Hover 2030,20000.0
Card Quest,20000.0
Disney's Aladdin,20000.0
Tokyo Xanadu eX+,20000.0
Vision,20000.0
Ping,20000.0
Grav Blazer,20000.0
Space Shock 3,20000.0
Colorless Life,20000.0
WireNet,20000.0
Retro Dungeons,20000.0
Kim Jong-Boom,20000.0
Cubic,20000.0
Ebony Spire: Heresy,20000.0
Hell Survive,20000.0
Let's be architects,20000.0
Capture the monster,20000.0
Legion War,20000.0
RACE Injection,10000.0
Recruits,10000.0
Deep Eclipse: New Space Odyssey,10000.0
Let's Explore the Airport (Junior Field Trips),10000.0
Blockpocalypse,10000.0
Flobe,10000.0
Palinurus,10000.0
Le Havre: The Inland Port,10000.0
Stay! Stay! Democratic People's Republic of Korea!,10000.0
WackyMoles,10000.0
Janken Cards,10000.0
Agricola: All Creatures Big and Small,10000.0
Bedfellows FRENZY,10000.0
Sarab: Duji Tower,10000.0
Fallen,10000.0
FoxTail,10000.0
Pandemic: The Board Game,10000.0
Odysseus Kosmos and his Robot Quest (Complete Season),10000.0
A Goo Adventure,10000.0
Krieg,10000.0
Morphite,10000.0
Wizhood,10000.0
Formless Adventure,10000.0
Best Time Kill,10000.0
Ruthless Safari,10000.0
Joy Pony,10000.0
NeoBoom,10000.0
Brutal Runner,10000.0
Keyboard Killers,10000.0
Surviving in the forest,10000.0
Caves!,10000.0
Magic and Challenge RPG,10000.0
FEMINAZI: 3000,10000.0
Ballz: Farm,10000.0
Crankies Workshop: Zazzbot Assembly,10000.0
Wasted Pizza,10000.0
Brick Breaker Ultimate,10000.0
Devour them all,10000.0
Cogmind,10000.0
Pixel Car,10000.0
Save the Lamb,10000.0
Lucky Panda,10000.0
Hydroactive,10000.0
3D Tower,10000.0
Reflex,10000.0
NARK THE DRAGON,10000.0
Stickman Jetpack,10000.0
Armada Skies,10000.0
Spaceguy,10000.0
Derrek Quest VII,10000.0
Trivia Vault Basketball Trivia,10000.0
Jungle Jorney,10000.0
My zero trip,10000.0
Go-Kart Racing,10000.0
Aik's Cheese Adventures,10000.0
Epic drag puZOOls,10000.0
GARAGE: Bad Trip,10000.0
Rag Doll Kung Fu,0.0
SiN Episodes: Emergence,0.0
Dangerous Waters,0.0
Space Empires IV Deluxe,0.0
Disciples II: Rise of the Elves,0.0
Iron Warriors: T - 72 Tank Command,0.0
QUAKE III: Team Arena,0.0
HeXen: Deathkings of the Dark Citadel,0.0
Heretic: Shadow of the Serpent Riders,0.0
Gumboy - Crazy Adventures,0.0
Alpha Prime,0.0
Call of Duty: United Offensive,0.0
Act of War: Direct Action,0.0
ThreadSpace: Hyperbol,0.0
ARMA: Combat Operations,0.0
688(I) Hunter/Killer,0.0
Fleet Command,0.0
Sub Command,0.0
Xpand Rally Xtreme,0.0
Men of War: Red Tide,0.0
Genesis Rising,0.0
Heavy Weapon Deluxe,0.0
Venice Deluxe,0.0
Mystery P.I. - The Lottery Ticket,0.0
Amazing Adventures The Lost Tomb,0.0
Mystery P.I. - The Vegas Heist,0.0
Amazing Adventures Around the World,0.0
Bejeweled Twist,0.0
Mystery P.I. - The New York Fortune,0.0
The Wizard's Pen,0.0
Escape Rosecliff Island,0.0
Mystery P.I. - Lost in Los Angeles,0.0
Zuma's Revenge!,0.0
Advent Rising,0.0
Shattered Union,0.0
CivCity: Rome,0.0
Civilization IV: Warlords,0.0
Poker Superstars II,0.0
RACE - The WTCC Game,0.0
RACE: Caterham Expansion,0.0
Silverfall,0.0
City Life 2008,0.0
Silverfall: Earth Awakening,0.0
Medieval II: Total War Kingdoms,0.0
Heroes of Annihilated Empires,0.0
Cossacks: Art of War,0.0
Zen of Sudoku,0.0
Vegas: Make It Big,0.0
Making History: The Calm & the Storm,0.0
Ducati World Championship,0.0
Joint Task Force,0.0
Nexus - The Jupiter Incident,0.0
Battlestations: Midway,0.0
Project: Snowblind,0.0
Rogue Trooper,0.0
Jade Empire: Special Edition,0.0
"Runaway, The Dream of The Turtle",0.0
Loki,0.0
Azada,0.0
X-COM: Interceptor,0.0
X-COM: Enforcer,0.0
Men of War,0.0
Death Track: Resurrection,0.0
Conflict: Denied Ops,0.0
Bone: Out From Boneville,0.0
Bone: The Great Cow Race,0.0
Telltale Texas Hold Em,0.0
Strong Bad's Cool Game for Attractive People: Season 1,0.0
GTR 2 FIA GT Racing Game,0.0
Axel & Pixel,0.0
Spear of Destiny,0.0
Desperados 2: Cooper's Revenge,0.0
Act of War: High Treason,0.0
Codename: Panzers - Cold War,0.0
Haunted House,0.0
Star Raiders,0.0
Aces of the Galaxy,0.0
TimeShift,0.0
3D Ultra Minigolf Adventures,0.0
Dead Mountaineer's Hotel,0.0
A Stroke of Fate: Operation Valkyrie,0.0
PT Boats: Knights of the Sea,0.0
PT Boats: South Gambit,0.0
The Club,0.0
Sherlock Holmes - Nemesis,0.0
Dracula Origin,0.0
Sherlock Holmes: The Mystery of the Mummy,0.0
Sherlock Holmes: The Awakened - Remastered Edition,0.0
Sherlock Holmes: The Silver Earring,0.0
Sherlock Holmes versus Jack the Ripper,0.0
Pacific Storm,0.0
Pacific Storm Allies,0.0
Soldiers: Heroes of World War II,0.0
Maelstrom: The Battle for Earth Begins,0.0
Culpa Innata,0.0
Darkstar One,0.0
Jack Keane,0.0
Exodus from the Earth,0.0
Perimeter 2: New Earth,0.0
Ankh 2: Heart of Osiris,0.0
Ankh 3: Battle of the Gods,0.0
BC Kings,0.0
9th Company: Roots Of Terror,0.0
Prison Tycoon 3: Lockdown,0.0
18 Wheels of Steel: American Long Haul,0.0
Hunting Unlimited 2008,0.0
Mahjongg Investigations: Under Suspicion,0.0
Ride! Carnival Tycoon,0.0
Sprint Cars Road to Knoxville,0.0
Midnight Outlaw: 6 Hours to SunUp,0.0
Drakensang,0.0
Mission Runway,0.0
Damnation,0.0
Tom Clancy's Rainbow Six Vegas,0.0
Tom Clancy's Splinter Cell Double Agent,0.0
Petz Horsez 2,0.0
Silent Hunter III,0.0
Silent Hunter: Wolves of the Pacific U-Boat Missions,0.0
Cold Fear,0.0
Harvest: Massive Encounter,0.0
The Wonderful End of the World,0.0
Planet Busters,0.0
7 Wonders II,0.0
Luxor Amun Rising,0.0
Luxor 2,0.0
Little Farm,0.0
Luxor,0.0
Discovery! A Seek and Find Adventure,0.0
Samantha Swift and the Hidden Roses of Athena,0.0
7 Wonders: Treasures of Seven,0.0
Luxor: Quest for the Afterlife,0.0
Samantha Swift and the Golden Touch,0.0
Virtual Villagers: A New Home,0.0
Virtual Villagers: The Lost Children,0.0
Plant Tycoon,0.0
Fish Tycoon,0.0
Virtual Villagers - The Secret City,0.0
Virtual Families,0.0
Chaos Theory,0.0
Monster Trucks Nitro,0.0
GROUND BRANCH,0.0
Children of the Nile: Enhanced Edition,0.0
Children of the Nile: Alexandria,0.0
Hinterland,0.0
Mosby's Confederacy,0.0
"Precipice of Darkness, Episode Two",0.0
DeathSpank: Thongs of Virtue,0.0
Crazy Machines,0.0
Helldorado,0.0
Mayhem Intergalactic,0.0
Puzzle Chronicles,0.0
Rocket Knight,0.0
Biozone,0.0
Space Ark,0.0
Galactic Bowling,0.0
Red Faction II,0.0
Watchmen: The End is Nigh,0.0
Watchmen: The End is Nigh Part 2,0.0
Gravitron 2,0.0
Project Aftermath,0.0
Pyroblazer,0.0
Flock!,0.0
Street Fighter IV,0.0
Driver Parallel Lines,0.0
Hearts of Iron 2 Complete,0.0
Spectromancer,0.0
Fluttabyes,0.0
Yosumin!,0.0
Ceville,0.0
Puzzle Quest: Galactrix,0.0
Depths of Peril,0.0
Crusaders: Thy Kingdom Come,0.0
Trainz: Classic Cabon City,0.0
Trainz Settle and Carlisle,0.0
Command & Conquer 3: Kane's Wrath,0.0
Cricket Revolution,0.0
Eschalon: Book I,0.0
Eschalon: Book II,0.0
East India Company,0.0
Majesty 2,0.0
Drug Wars,0.0
The Graveyard,0.0
Fatale,0.0
Summer Athletics,0.0
Mevo and The Grooveriders,0.0
Space Giraffe,0.0
Twin Sector,0.0
Yumsters 2: Around the World,0.0
Musaic Box,0.0
Dark Sector,0.0
Tunnel Rats,0.0
Nancy Drew: Danger by Design,0.0
Nancy Drew: Last Train to Blue Moon Canyon,0.0
Nancy Drew: The Haunted Carousel,0.0
Nancy Drew: Curse of Blackmoor Manor,0.0
Nancy Drew: Danger on Deception Island,0.0
Nancy Drew: Ghost Dogs of Moon Lake,0.0
Nancy Drew: Legend of the Crystal Skull,0.0
"Nancy Drew Dossier: Lights, Camera, Curses!",0.0
Nancy Drew: Secret of the Old Clock,0.0
Nancy Drew: Secret of the Scarlet Hand,0.0
Nancy Drew: The Creature of Kapu Cave,0.0
Nancy Drew: The Haunting of Castle Malloy,0.0
Nancy Drew: The Phantom of Venice,0.0
Nancy Drew: The White Wolf of Icicle Creek,0.0
Nancy Drew: Ransom of the Seven Ships,0.0
Raycatcher,0.0
LUXOR: Mah Jong,0.0
Chainz 2: Relinked,0.0
Midnight Mysteries,0.0
Everyday Genius: SquareLogic,0.0
Zombie Bowl-o-Rama,0.0
LEGO Indiana Jones: The Original Adventures,0.0
Lucidity,0.0
LEGO Indiana Jones 2: The Adventure Continues,0.0
Monkey Island 2 Special Edition: LeChucks Revenge,0.0
Delta Force Xtreme 2,0.0
Delta Force,0.0
Delta Force 2,0.0
Delta Force Land Warrior,0.0
Delta Force: Task Force Dagger,0.0
Delta Force: Xtreme,0.0
Delta Force: Black Hawk Down,0.0
Delta Force  Black Hawk Down: Team Sabre,0.0
Armored Fist 3,0.0
F-16 Multirole Fighter,0.0
F-22 Lightning 3,0.0
MiG-29 Fulcrum,0.0
Comanche 4,0.0
Tachyon: The Fringe,0.0
Joint Operations: Combined Arms Gold,0.0
Restaurant Empire II,0.0
Alien Shooter,0.0
Alien Shooter: Revisited,0.0
Zeit,0.0
Tropico Reloaded,0.0
Crash Time 3,0.0
Puzzler World,0.0
Ziro,0.0
The Search for Amelia Earhart,0.0
Drakensang: The River of Time,0.0
Elizabeth Find M.D. - Diagnosis Mystery - Season 2,0.0
Fish Fillets 2,0.0
Pound of Ground,0.0
Alternativa,0.0
XIII Century  Gold Edition,0.0
Light of Altair,0.0
Massive Assault,0.0
Massive Assault: Phantom Renaissance,0.0
Chronicles of Mystery: The Scorpio Ritual,0.0
Project Freedom,0.0
Flora's Fruit Farm,0.0
Warfare,0.0
Clutch,0.0
Insane 2,0.0
Big Brain Wolf,0.0
BRAINPIPE: A Plunge to Unhumanity,0.0
Tradewinds Classics,0.0
Tradewinds Caravans + Odyssey Pack,0.0
Cake Mania Collection,0.0
Monster Mash,0.0
Kuros,0.0
Cake Mania Main Street,0.0
Westward IV: All Aboard,0.0
Iron Roses,0.0
Angle of Attack,0.0
All Aspect Warfare,0.0
Ninja Blade,0.0
UFO: Extraterrestrials Gold,0.0
Aztaka,0.0
Chocolatier: Decadence by Design,0.0
Cooking Dash,0.0
Diaper Dash,0.0
Diner Dash: Hometown Hero,0.0
Wandering Willows,0.0
Wedding Dash 2: Rings Around the World,0.0
DinerTown Tycoon,0.0
DinerTown Detective Agency,0.0
The Nightshift Code,0.0
Nightshift Legacy: The Jaguar's Eye,0.0
Fitness Dash,0.0
TriJinx: A Kristine Kross Mystery,0.0
Valerie Porter and the Scarlet Scandal,0.0
Gemini Lost,0.0
Darkest of Days,0.0
Jewel Quest Pack,0.0
Mahjong Quest Collection,0.0
Coconut Queen,0.0
Build-A-Lot,0.0
Build-A-Lot 2: Town of the Year,0.0
Build-A-Lot 3: Passport to Europe,0.0
Build-A-Lot 4: Power Source,0.0
Farm Frenzy,0.0
Farm Frenzy 2,0.0
Farm Frenzy: Pizza Party,0.0
Farm Frenzy 3,0.0
Farm Frenzy 3: American Pie,0.0
Cradle of Rome,0.0
Cradle of Persia,0.0
Romance of Rome,0.0
Hotel Giant 2,0.0
Kingpin  Life of Crime,0.0
MDK,0.0
MDK 2,0.0
Earthworm Jim 2,0.0
SEASON OF MYSTERY: The Cherry Blossom Murders,0.0
Painkiller: Resurrection,0.0
AquaNox,0.0
AquaNox 2: Revelation,0.0
The Guild II - Pirates of the European Seas,0.0
Chaser,0.0
Coniclysm,0.0
ItzaBitza,0.0
ItzaZoo,0.0
Rush for Berlin Gold,0.0
Secret Files: Tunguska,0.0
Secret Files 2: Puritas Cordis,0.0
Tidalis,0.0
Sacraboar,0.0
Doom Rails,0.0
Earthworm Jim 3D,0.0
Tommy Tronic,0.0
Death and the Fly,0.0
Trino,0.0
Nancy Drew: Secrets Can Kill REMASTERED,0.0
Nancy Drew: The Captive Curse,0.0
Nancy Drew: Trail of the Twister,0.0
Arsenal of Democracy: A Hearts of Iron Game,0.0
Sword of the Stars: Complete Collection,0.0
The Kings' Crusade,0.0
Elven Legacy: Magic,0.0
Elven Legacy: Siege,0.0
Elven Legacy: Ranger,0.0
M.U.D. TV,0.0
Nancy Drew: Warnings at Waverly Academy,0.0
Super Laser  Racer,0.0
GTR - FIA GT Racing Game,0.0
GT Legends,0.0
Sol Survivor,0.0
Ignite,0.0
Land It!,0.0
Dark Void Zero,0.0
Bob Came in Pieces,0.0
A.I.M. Racing,0.0
NecroVisioN: Lost Company,0.0
Star Wolves,0.0
Star Wolves 2,0.0
Theatre of War,0.0
Theatre of War 2: Africa 1943,0.0
Real Warfare 1242,0.0
Theatre of War 2: Kursk 1943,0.0
Rig n Roll,0.0
Reign: Conflict of Nations,0.0
Still Life 2,0.0
Post Mortem,0.0
Swarm Arena,0.0
Ironclads: American Civil War,0.0
Ironclads: High Seas,0.0
Dimensity,0.0
Hazen: The Dark Whispers,0.0
World Basketball Manager 2010,0.0
Dark Fall: Lost Souls,0.0
Ironclads: Schleswig War 1864,0.0
Making History II: The War of the World,0.0
Ironclads: Anglo Russian War 1866,0.0
Ironclads: Chincha Islands War 1866,0.0
Zombie Pirates,0.0
Escape From Paradise,0.0
Escape From Paradise 2,0.0
Book of Legends,0.0
Dragon Age: Origins Awakening,0.0
Shift 2 Unleashed,0.0
Voodoo Dice,0.0
Ship Simulator Extremes,0.0
Hotel Dash Suite Success,0.0
Commander: Conquest of the Americas,0.0
Woody Two-Legs: Attack of the Zombie Pirates,0.0
CreaVures,0.0
Plain Sight,0.0
Professor Fizzwizzle and the Molten Mystery,0.0
Hidden Expedition: Amazon,0.0
Hidden Expedition: Everest,0.0
Hidden Expedition: Titanic,0.0
Mystery Case Files: Huntsville,0.0
Mystery Case Files: Madame Fate,0.0
Mystery Case Files: Prime Suspects,0.0
Mystery Case Files: Ravenhearst,0.0
Mystery Case Files: Return to Ravenhearst,0.0
My Tribe,0.0
Unwell Mel,0.0
Atlantis Sky Patrol,0.0
Drawn: The Painted Tower,0.0
NyxQuest: Kindred Spirits,0.0
Patrician IV - Steam Special Edition,0.0
Runaway: A Twist of Fate,0.0
Luxor: 5th Passage,0.0
Glowfish,0.0
Power of Defense,0.0
Numen: Contest of Heroes,0.0
Age of Wonders II: The Wizard's Throne,0.0
Riven: The Sequel to MYST,0.0
URU: Complete Chronicles,0.0
Myst: Masterpiece Edition,0.0
Fantasy Wars,0.0
Theatre of War 3: Korea,0.0
Ride 'em Low,0.0
Kaptain Brawe: A Brawe New World,0.0
Demolition Company Gold Edition,0.0
Aura: Fate of the Ages,0.0
Pat & Mat,0.0
Governor of Poker 2 - Premium Edition,0.0
Diamond Dan,0.0
Evochron Mercenary,0.0
Space Channel 5: Part 2,0.0
Winter Voices,0.0
Darkest Hour: A Hearts of Iron Game,0.0
Pride of Nations,0.0
Supreme Ruler: Cold War,0.0
Puzzle Bots,0.0
The Blackwell Legacy,0.0
Blackwell Unbound,0.0
Blackwell Convergence,0.0
Farming Simulator 2011,0.0
Blue Toad Murder Files: The Mysteries of Little Riddle,0.0
Cloning Clyde,0.0
Ancients of Ooga,0.0
B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),0.0
Agricultural Simulator 2011: Extended Edition,0.0
Dinner Date,0.0
Hector: Badge of Carnage - Full Series,0.0
Slam Bolt Scrappers,0.0
Kohan: Immortal Sovereigns,0.0
Kohan: Ahriman's Gift,0.0
Kohan II: Kings of War,0.0
Naval Warfare,0.0
Alien Hallway,0.0
Dungeons and Dragons: Daggerdale,0.0
Yar's Revenge,0.0
Garshasp: The Monster Slayer,0.0
Garshasp: Temple of the Dragon,0.0
3DCoat 4.8,0.0
Vertex Dispenser,0.0
Warp,0.0
Storm in a Teacup,0.0
Inside a Star-filled Sky,0.0
Critical Mass,0.0
Ms. Splosion Man,0.0
Starpoint Gemini,0.0
Death Rally,0.0
Legend of Fae,0.0
Fowl Space,0.0
Achron,0.0
inMomentum,0.0
Data Jammers: FastForward,0.0
Astro Tripper,0.0
Alien Zombie Megadeath,0.0
Mutant Storm: Reloaded,0.0
The Clockwork Man,0.0
The Clockwork Man: The Hidden World,0.0
American Conquest,0.0
Super Toy Cars,0.0
Global Ops: Commando Libya,0.0
Nancy Drew: Shadow at the Water's Edge,0.0
Battle Chess: Game of Kings,0.0
Sideway New York,0.0
Off-Road Drive,0.0
SOL: Exodus,0.0
Disciples III - Resurrection,0.0
Geneforge 1,0.0
Geneforge 2,0.0
Geneforge 3,0.0
Geneforge 4: Rebellion,0.0
Geneforge 5: Overthrow,0.0
Airline Tycoon 2,0.0
Ridge Racer Unbounded,0.0
Nancy Drew: Alibi in Ashes,0.0
Real Warfare 2: Northern Crusades,0.0
Containment: The Zombie Puzzler,0.0
Pineapple Smash Crew,0.0
Pickers,0.0
Confrontation,0.0
Rotastic,0.0
Deep Black: Reloaded,0.0
BIT.TRIP CORE,0.0
BIT.TRIP VOID,0.0
BIT.TRIP FATE,0.0
BIT.TRIP FLUX,0.0
3DMark 11,0.0
Gratuitous Tank Battles,0.0
1000 Amps,0.0
Jagged Alliance: Crossfire,0.0
Auditorium,0.0
Warlock 2: The Exiled,0.0
Avernum 4,0.0
Avernum 5,0.0
Avernum 6,0.0
Clan of Champions,0.0
Crazy Machines Elements,0.0
Alien Spidy,0.0
Bang Bang Racing,0.0
Fireburst,0.0
AVSEQ,0.0
Bumbledore,0.0
Arena Wars 2,0.0
Jane's Advanced Strike Fighters,0.0
Myst V: End of Ages,0.0
Avernum: Escape From the Pit,0.0
Midnight Mysteries: Salem Witch Trials,0.0
Midnight Mysteries 3: Devil on the Mississippi,0.0
Midnight Mysteries 4: Haunted Houdini,0.0
Colour Bind,0.0
Sherlock Holmes and The Hound of The Baskervilles,0.0
All Zombies Must Die!: Scorepocalypse,0.0
Roller Coaster Rampage,0.0
Magrunner: Dark Pulse,0.0
Cannon Fodder 3,0.0
Highborn,0.0
Nancy Drew: Tomb of the Lost Queen,0.0
Primal Fears,0.0
Magical Diary: Horse Hall,0.0
Conflict Desert Storm,0.0
Conquest of Elysium 3,0.0
New Star Soccer 5,0.0
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,0.0
MDK2 HD,0.0
Atooms to Moolecules Demo,0.0
Rigonauts,0.0
Aerofly FS 1 Flight Simulator,0.0
Call of Duty: Black Ops - Mac Edition,0.0
Thirty Flights of Loving,0.0
Space Rangers HD: A War Apart,0.0
Air Conflicts: Pacific Carriers,0.0
Damage Inc. Pacific Squadron WWII,0.0
Fieldrunners 2,0.0
Gemini Wars,0.0
Secret Files 3,0.0
Don Bradman Cricket 14,0.0
Great Big War Game,0.0
Luxor: Amun Rising HD,0.0
Waves 2,0.0
Karateka,0.0
Din's Curse,0.0
Dogfight 1942,0.0
Nethergate: Resurrection,0.0
Democracy 2,0.0
iBomber Attack,0.0
